No,PLACE,,SEX,D_LENGTH,COD,DATE,SPECIES,COUNT,MEASURED,F_LENGTH,F_WEIGHT,Weighting,
DD26,Riveira,,Female,192,Unknown,10/01/1993,Hake,7,7,52.031,1.189,0.5,55
DD112,Susinos,,Female,215,Unknown,10/04/1993,Hake,1,1,258.679,127.038,0.5,56
DD114,Teis,,Male,190,Unknown,18/05/1993,Hake,2,2,313.277,221.921,0.5,57
DD114,Teis,,Male,190,Unknown,18/05/1993,Hake,2,2,320.108,236.313,0.5,58
DD124,Canelinas,,Male,197,Bycatch,06/03/1994,Hake,3,3,94.906,6.846,0.5,59
DD124,Canelinas,,Male,197,Bycatch,06/03/1994,Hake,3,3,50.048,1.061,0.5,60
DD124,Canelinas,,Male,197,Bycatch,06/03/1994,Hake,3,3,57.675,1.604,0.5,61
DD128,Barona,,Male,,Bycatch,17/04/1994,Hake,2,2,118.79,13.164,0.5,62
DD128,Barona,,Male,,Bycatch,17/04/1994,Hake,2,2,118.79,13.164,0.5,63
DD138,O Grobe,,Unknown,,Bycatch,23/10/1994,Hake,6,6,185.665,48.347,0.5,64
DD138,O Grobe,,Unknown,,Bycatch,23/10/1994,Hake,6,6,214.326,73.448,0.5,65
DD138,O Grobe,,Unknown,,Bycatch,23/10/1994,Hake,6,6,223.88,83.398,0.5,66
DD138,O Grobe,,Unknown,,Bycatch,23/10/1994,Hake,6,6,221.491,80.832,0.5,67
DD138,O Grobe,,Unknown,,Bycatch,23/10/1994,Hake,6,6,173.723,39.835,0.5,68
DD138,O Grobe,,Unknown,,Bycatch,23/10/1994,Hake,6,6,206.414,65.825,0.5,69
DD139,Montalvo,,Male,230,Unknown,06/11/1994,Hake,2,2,214.326,73.448,0.5,70
DD139,Montalvo,,Male,230,Unknown,06/11/1994,Hake,2,2,216.714,75.857,0.5,71
DD14,Malpica,,Female,,Unknown,30/01/1993,Hake,2,2,115.16,12.026,0.5,72
DD305,Sanxenxo,,Male,183,Bycatch,05/04/1995,Hake,8,8,234.269,95.178,0.5,73
DD305,Sanxenxo,,Male,183,Bycatch,05/04/1995,Hake,8,8,230.304,90.561,0.5,74
